Z, A, Symbol, mass, mass_unc, estimated_flag
 89, 223, Ac, 223.0191368720, 7.632000e-06,  
 90, 223, Th, 223.0208115460, 9.889000e-06,  
 91, 223, Pa, 223.0239622320, 7.628900e-05,  
 92, 223, U , 223.0277371680, 7.634900e-05,  
 93, 223, Np, 223.0328500000, 2.100000e-04, #
 83, 224, Bi, 224.0395390000, 4.290000e-04, #
 84, 224, Po, 224.0321100000, 2.100000e-04, #
 85, 224, At, 224.0297490000, 2.400000e-05,  
 86, 224, Rn, 224.0240958040, 1.053600e-05,  
 87, 224, Fr, 224.0233481000, 1.200000e-05,  
 88, 224, Ra, 224.0202104530, 1.945000e-06,  
 89, 224, Ac, 224.0217222390, 4.389000e-06,  
 90, 224, Th, 224.0214641570, 1.086400e-05,  
 91, 224, Pa, 224.0256172100, 8.145000e-06,  
 92, 224, U , 224.0276139740, 2.487500e-05,  
 93, 224, Np, 224.0342200000, 2.100000e-04, #
 84, 225, Po, 225.0370700000, 3.200000e-04, #
 85, 225, At, 225.0326300000, 3.200000e-04, #
 86, 225, Rn, 225.0284855740, 1.195800e-05,  
 87, 225, Fr, 225.0255724780, 1.284700e-05,  
 88, 225, Ra, 225.0236105740, 2.787000e-06,  
 89, 225, Ac, 225.0232286470, 5.107000e-06,  
 90, 225, Th, 225.0239509070, 5.467000e-06,  
 91, 225, Pa, 225.0261308440, 7.623400e-05,  
 92, 225, U , 225.0293935550, 1.171100e-05,  
 93, 225, Np, 225.0339107970, 7.688900e-05,  
